,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
602,170.78571428571428,384.5393205005036,1.0,0.019636692307708124,14,0.2552770000002056,2391.0,1,voip
2090,159.93939393939394,290.18290992427717,1.3571428571428572,0.9374096875000006,33,29.99711000000002,5278.0,1,streaming
1838,20.0,-1.0,0.0,-1.0,1,0.001017999999987751,20.0,1,game
3185,181.4615384615384,398.07591725377694,1.1666666666666667,0.0672080000000032,13,0.8064960000000383,2359.0,1,voip
1915,373.9259259259259,525.8333258834843,1.0769230769230769,1.7564704999999994,27,45.668233,10096.0,1,streaming
3236,170.78571428571428,384.5393205005036,1.0,0.025268769230767527,14,0.32849399999997786,2391.0,1,voip
3660,170.78571428571428,384.5393205005036,1.0,0.02167423076923569,14,0.28176500000006394,2391.0,1,voip
2970,170.78571428571428,384.5393205005036,1.0,0.017733769230770892,14,0.2305390000000216,2391.0,1,voip
2576,70.0,-1.0,0.0,-1.0,1,0.03207100000000196,70.0,0,game
1003,134.0,-1.0,0.0,-1.0,1,0.04170899999996891,134.0,0,voip
1115,648.0352069178505,389.3739856968583,-1.0,0.003597568603213789,1619,5.820865999999911,1049169.0,0,voip
3178,69.7,81.7231777268712,1.0,3.388367999999951,10,30.495311999999558,697.0,1,voip
118,95.5,185.84421279278897,1.0,0.2658053809523809,22,5.581913,2101.0,1,streaming
1192,848.2053354890865,334.32423733151984,-1.0,0.0030025380258899624,1237,3.7111369999999937,1049230.0,0,voip
2472,58.0,0.0,-1.0,409.69022366666667,4,1229.0706710000004,232.0,0,game
1312,864.2570016474465,355.3981845653147,-1.0,0.002902729596042812,1214,3.5210109999999304,1049208.0,0,voip
3061,134.9,265.83890276297456,1.0,0.09781133333333338,10,0.8803020000000004,1349.0,1,voip
3308,170.78571428571428,384.5393205005036,1.0,0.019734846153841527,14,0.25655299999993986,2391.0,1,voip
115,24.42857142857143,11.716898663286045,0.75,0.014521166666666668,7,0.087127,171.0,1,streaming
920,20.0,-1.0,0.0,-1.0,1,0.02485000000001492,20.0,1,voip
4142,69.7,81.7231777268712,1.0,3.3530327777778237,10,30.17729500000041,697.0,1,voip
2352,251.67741935483872,431.0236178445272,1.3846153846153846,0.025623566666666875,31,0.7687070000000062,7802.0,1,game
1460,1320.0,0.0,-1.0,0.00013424559193954874,795,0.10659100000000166,1049400.0,1,download
461,400.157894736842,595.732533493,0.9,0.018128444444444527,19,0.3263120000000015,7603.0,1,voip
4807,1450.0,0.0,-1.0,0.00020954218533886744,724,0.15149900000000116,1049800.0,1,download
104,1282.492665036675,129.9226983050758,-1.0,8.143329253365689e-05,818,0.06653099999999768,1049079.0,1,streaming
1878,113.0,-1.0,0.0,-1.0,1,0.09385499999996227,113.0,0,game
58,367.26315789473676,504.7545662195519,1.2352941176470589,0.2861271081081081,38,10.586703,13956.0,1,streaming
238,170.78571428571428,384.5393205005036,1.0,0.017545153846153464,14,0.22808699999999504,2391.0,1,voip
1083,618.8867924528303,388.09126307406785,-1.0,0.003902336283185845,1696,6.614460000000008,1049632.0,0,voip
987,189.66666666666663,51.38417395787671,0.5,3.039881000000001,3,6.079762000000002,569.0,0,voip
3041,170.78571428571428,384.5393205005036,1.0,0.056427923076888375,14,0.7335629999995491,2391.0,1,voip
3498,170.78571428571428,384.5393205005036,1.0,0.04844476923076749,14,0.6297819999999774,2391.0,1,voip
3705,170.78571428571428,384.5393205005036,1.0,0.08610892307692318,14,1.119416000000001,2391.0,1,voip
4566,401.56869498660535,512.9246915964662,-1.0,0.008974173047473222,2613,23.440540000000052,1049299.0,0,voip
4942,75.0,-1.0,0.0,-1.0,1,0.016182000000000585,75.0,0,download
2530,94.0,-1.0,0.0,-1.0,1,0.01827800000000224,94.0,0,game
2419,860.6352459016392,661.3624480434734,0.6158940397350994,0.0008006570959803117,1220,0.976001,1049975.0,1,game
2133,136.42857142857142,0.5135525910130954,-1.0,2.443712999999998,14,31.768268999999968,1910.0,0,streaming
4188,170.78571428571428,384.5393205005036,1.0,0.04877184615384067,14,0.6340339999999287,2391.0,1,voip
3076,69.7,81.7231777268712,1.0,3.4008260000000012,10,30.60743400000001,697.0,1,voip
1152,59.0,-1.0,0.0,-1.0,1,0.1019169999999998,59.0,0,voip
521,170.78571428571428,384.5393205005036,1.0,0.01725607692307344,14,0.2243289999999547,2391.0,1,voip
2740,69.7,81.7231777268712,1.0,3.341309999999984,10,30.07178999999985,697.0,1,voip
2235,262.82142857142856,448.39830620252235,1.3333333333333333,0.018368999999999858,28,0.4959629999999962,7359.0,1,game
3937,170.78571428571428,384.5393205005036,1.0,0.020394076923086958,14,0.26512300000013056,2391.0,1,voip
3562,170.78571428571428,384.5393205005036,1.0,0.022706153846141976,14,0.2951799999998457,2391.0,1,voip
4021,36.0,13.85640646055102,2.0,1.1551110000000049,3,2.3102220000000098,108.0,1,voip
2510,197.0,-1.0,0.0,-1.0,1,0.3000030000000038,197.0,0,game
1619,1320.0,0.0,-1.0,0.00010453148614610008,795,0.08299800000000346,1049400.0,1,download
2170,158.0,-1.0,0.0,-1.0,1,0.027797999999904732,158.0,0,streaming
1604,1320.0,0.0,-1.0,0.0001070000000000004,795,0.08495800000000031,1049400.0,1,download
3747,170.78571428571428,384.5393205005036,1.0,0.018800923076923937,14,0.2444120000000112,2391.0,1,voip
904,170.78571428571428,384.5393205005036,1.0,0.013627230769230891,14,0.1771540000000016,2391.0,1,voip
814,400.157894736842,595.732533493,0.9,0.018804611111110918,19,0.3384829999999965,7603.0,1,voip
3204,171.36,365.67835137818406,1.0833333333333333,0.029485749999992095,25,0.7076579999998103,4284.0,1,voip
1304,845.0499597099114,333.01332544114416,-1.0,0.0026269725806451283,1241,3.257445999999959,1048707.0,0,voip
240,69.7,81.7231777268712,1.0,3.3591327777777784,10,30.232195,697.0,1,voip
3425,44.0,0.0,-1.0,4.401618375000028,9,35.21294700000021,396.0,1,voip
1570,1320.0,0.0,-1.0,0.00012336523929468268,795,0.09795199999997806,1049400.0,1,download
1528,1320.0,0.0,-1.0,8.218639798489305e-05,795,0.06525600000000509,1049400.0,1,download
988,178.0,-1.0,0.0,-1.0,1,0.013645000000000351,178.0,0,voip
3344,69.7,81.7231777268712,1.0,3.40195455555555,10,30.617590999999948,697.0,1,voip
4721,713.9680054458815,697.1598833313667,0.8571428571428571,0.013690845367847412,1469,20.098161,1048819.0,1,download
3853,170.78571428571428,384.5393205005036,1.0,0.02113853846154038,14,0.2748010000000249,2391.0,1,voip
4885,170.78571428571428,384.5393205005036,1.0,0.018391692307692255,14,0.23909199999999944,2391.0,1,download
4605,94.33333333333331,9.814954576223636,0.5,0.2156125000000001,3,0.4312250000000002,283.0,0,voip
1733,1320.0,0.0,-1.0,0.0001095226700251918,795,0.08696100000000229,1049400.0,1,download
3281,170.78571428571428,384.5393205005036,1.0,0.0817815384615502,14,1.0631600000001526,2391.0,1,voip
3696,400.157894736842,595.732533493,0.9,0.033280499999983074,19,0.5990489999996953,7603.0,1,voip
1443,1320.0,0.0,-1.0,0.00012694332493701362,795,0.1007929999999888,1049400.0,1,download
1723,1320.0,0.0,-1.0,0.00010684508816120682,795,0.08483499999999823,1049400.0,1,download
4757,170.78571428571428,384.5393205005036,1.0,0.023528615384615446,14,0.3058720000000008,2391.0,1,download
3240,123.6,236.1671724294749,1.0,0.08611588888889958,10,0.7750430000000961,1236.0,1,voip
428,170.78571428571428,384.5393205005036,1.0,0.01484100000000301,14,0.1929330000000391,2391.0,1,voip
